Compiler,Dimension,Algorithm,2q_gates,2q_layers,Fidelity
arctic,0,qasm_files\adder_n10,65,61,0.46
arctic,0,qasm_files\dnn_n16,128,37,0.31
arctic,0,qasm_files\dnn_n33,173,150,0.02
arctic,0,qasm_files\dnn_n51,272,197,0.00
arctic,0,qasm_files\ga_n9,32,17,0.75
arctic,0,qasm_files\hhl_n7,92,89,0.39
arctic,0,qasm_files\ising_n26,51,5,0.67
arctic,0,qasm_files\ising_n34,67,5,0.59
arctic,0,qasm_files\ising_n98,195,5,0.22
arctic,0,qasm_files\qaoa4_n20,76,25,0.46
arctic,0,qasm_files\qaoa8_40,312,53,0.04
arctic,0,qasm_files\qaoa_n6,36,25,0.73
arctic,0,qasm_files\qft_n18,307,272,0.01
arctic,0,qasm_files\QV_n32,1485,1100,0.00
arctic,0,qasm_files\sqrt_n18,898,823,0.00
arctic,0,qasm_files\vqe_n4,10,8,0.92
arctic,3,qasm_files\adder_n10,65,63,0.45
arctic,3,qasm_files\dnn_n16,124,89,0.19
arctic,3,qasm_files\dnn_n33,173,165,0.01
arctic,3,qasm_files\dnn_n51,272,262,0.00
arctic,3,qasm_files\ga_n9,32,27,0.71
arctic,3,qasm_files\hhl_n7,92,87,0.39
arctic,3,qasm_files\ising_n26,48,35,0.42
arctic,3,qasm_files\ising_n34,66,39,0.29
arctic,3,qasm_files\ising_n98,189,101,0.00
arctic,3,qasm_files\qaoa4_n20,76,55,0.32
arctic,3,qasm_files\qaoa8_40,312,217,0.00
arctic,3,qasm_files\qaoa_n6,36,30,0.71
arctic,3,qasm_files\qft_n18,307,301,0.01
arctic,3,qasm_files\QV_n32,1481,1469,0.00
arctic,3,qasm_files\sqrt_n18,898,888,0.00
arctic,3,qasm_files\vqe_n4,10,8,0.92
arctic,10,qasm_files\adder_n10,65,61,0.46
arctic,10,qasm_files\dnn_n16,128,37,0.31
arctic,10,qasm_files\dnn_n33,173,142,0.02
arctic,10,qasm_files\dnn_n51,272,242,0.00
arctic,10,qasm_files\ga_n9,32,17,0.75
arctic,10,qasm_files\hhl_n7,92,87,0.39
arctic,10,qasm_files\ising_n26,49,16,0.57
arctic,10,qasm_files\ising_n34,66,22,0.42
arctic,10,qasm_files\ising_n98,193,41,0.03
arctic,10,qasm_files\qaoa4_n20,76,25,0.46
arctic,10,qasm_files\qaoa8_40,312,110,0.01
arctic,10,qasm_files\qaoa_n6,36,28,0.72
arctic,10,qasm_files\qft_n18,307,270,0.01
arctic,10,qasm_files\QV_n32,1484,1322,0.00
arctic,10,qasm_files\sqrt_n18,898,821,0.00
arctic,10,qasm_files\vqe_n4,10,8,0.92
arctic,25,qasm_files\adder_n10,65,60,0.46
arctic,25,qasm_files\dnn_n16,128,39,0.31
arctic,25,qasm_files\dnn_n33,173,125,0.03
arctic,25,qasm_files\dnn_n51,272,233,0.00
arctic,25,qasm_files\ga_n9,32,17,0.75
arctic,25,qasm_files\hhl_n7,92,89,0.39
arctic,25,qasm_files\ising_n26,51,5,0.67
arctic,25,qasm_files\ising_n34,67,5,0.59
arctic,25,qasm_files\ising_n98,172,20,0.10
arctic,25,qasm_files\qaoa4_n20,76,25,0.46
arctic,25,qasm_files\qaoa8_40,312,53,0.04
arctic,25,qasm_files\qaoa_n6,36,28,0.72
arctic,25,qasm_files\qft_n18,307,267,0.01
arctic,25,qasm_files\QV_n32,1485,1085,0.00
arctic,25,qasm_files\sqrt_n18,898,795,0.00
arctic,25,qasm_files\vqe_n4,10,8,0.92
FAA,0,qasm_files\adder_n10,208,,0.05
FAA,0,qasm_files\dnn_n16,256,,0.13
FAA,0,qasm_files\dnn_n33,586,,0.00
FAA,0,qasm_files\dnn_n51,938,,0.00
FAA,0,qasm_files\ga_n9,64,,0.50
FAA,0,qasm_files\hhl_n7,280,,0.05
FAA,0,qasm_files\ising_n26,100,,0.47
FAA,0,qasm_files\ising_n34,132,,0.37
FAA,0,qasm_files\ising_n98,388,,0.06
FAA,0,qasm_files\qaoa4_n20,152,,0.07
FAA,0,qasm_files\qaoa8_40,624,,0.00
FAA,0,qasm_files\qaoa_n6,100,,0.38
FAA,0,qasm_files\qft_n18,1002,,0.00
FAA,0,qasm_files\QV_n32,7104,,-0.00
FAA,0,qasm_files\sqrt_n18,3818,,0.00
FAA,0,qasm_files\vqe_n4,18,,0.87
FPQA,0,vqe_n4,9,9,0.90
FPQA,0,ga_n9,32,26,0.49
FPQA,0,qaoa_n6,51,45,0.44
FPQA,0,ising_n26,53,17,0.26
FPQA,0,adder_n10,98,91,0.06
FPQA,0,ising_n34,75,24,0.09
FPQA,0,qaoa4_n20,85,58,0.03
FPQA,0,hhl_n7,126,118,0.08
FPQA,0,dnn_n16,138,55,0.07
FPQA,0,dnn_n33,247,210,0.00
FPQA,0,ising_n98,224,87,0.00
FPQA,0,dnn_n51,400,342,0.00
FPQA,0,qft_n18,354,273,0.00
FPQA,0,qaoa8_n40,364,244,0.00
